Title,Description,Creator,Donor,Date,Date is Approximate?,Keywords,Coverage,Latitude,Longitude,Relation,Publisher,Source,Identifier,Rights,Rights (Standardized),Format Original,Type,Format Digital,Language,Filename,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Logging Camp in Canada,A photograph of a group of men and mules at a logging camp in Canada.,,,1905,yes,Logging; Canada; Camp; Mules,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-01a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/0,0,1.jp2,/phs/image/1.jp2
McMurray and Strong at Old Mine,Wayne McMurray and Dwight Strong coming from the old mine on W. McMurray Place (old Alva Strong Place) in Deep Creek area Idaho.,,,1984-08-11,,mine; tour; forest; people; walking,United States--Idaho--Latah County--Deep Creek,47.00643,-116.91079,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-06a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/1,1,10.jp2,/phs/image/10.jp2
Conklin Place,"Workers Howard Wilcox, Leta Kislig, Ivan Clark, Rose Clark, Alfred Weible, Bill Leistner, Bud McKown, Art Kislig, Dave Kelmer, and Randolph Zimmerman plowing a field with a team of draft horses.  Photograph taken about 1926.",,,1926,yes,,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-21,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/2,2,100.jp2,/phs/image/100.jp2
"Deary, Idaho","View of Deary, Idaho. Many buildings can be seen all around the town and a hill can be seen in the background.",,,1908,yes,towns; buildings,United States--Idaho--Latah County--Deary,46.797905,-116.551546,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_42a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/3,3,1000.jp2,/phs/image/1000.jp2
Railroad Car,"View of a WI&M railroad car. Behind the car, stacks of logs can be seen being hauled in more railroad cars.",,,1910,yes,railroad cars; logging,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_42b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/4,4,1001.jp2,/phs/image/1001.jp2
WI&M Passenger Train,Early view of the WI&M passenger train surrounded by snow. The train can be seen on the railroad tracks.,,,1910,yes,railroad tracks; passenger trains,United States--Idaho--Latah County,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_41b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/5,5,1002.jp2,/phs/image/1002.jp2
Logging Train,"A train leaving Bovill, headed for Potlatch. The locomotive can be seen pulling loads of logs and steam can be seen coming out of the locomotive. Buildings can be seen in the background.",,,1907,yes,locomotives; logging,United States--Idaho--Latah County--Bovill,46.861052,-116.397826,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_43a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/6,6,1003.jp2,/phs/image/1003.jp2
Longest Logging Train,"View of the longest log train in the world. The train of logs is for Potlatch Lumber Company and consists of 105 cars, with a length of one mile. The train can be seen between Potlatch and Princeton. Old ""Company Ranch"" buildings can be seen in the background.",,,1907,yes,trains; logging; mills,United States--Idaho--Latah County--Harvard,46.917433,-116.730206,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_44a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/7,7,1004.jp2,/phs/image/1004.jp2
Longest Logging Train,"View of the lonest log train in the wrold. The view of the flat is West of Harvard, while looking East. Edwards Mill can be seen to the left of the train.",,,1907,yes,trains; logging,United States--Washington--Whitman County--Palouse,46.935225,-116.946555,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_44b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/8,8,1005.jp2,/phs/image/1005.jp2
Train Wreck,"View of a train wreck. The locomotive can still be seen on the track, while the railroad cars can be seen piled up next to the track.",,,1907,yes,locomotives; railroad cars; wrecks,United States--Idaho--Latah County,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_43b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/9,9,1006.jp2,/phs/image/1006.jp2
